Evento;Fecha;Hora UTC;Hora Local;Latitud;Longitud;Profundidad;Magnitud;Tipo Mag.;Int. max.;Localización;CodProvincia
es2020bejxq;17-1-2020;15:00:03;16:00:03;39,2401;-0,4453;5;1.9;mbLg;;SE ALGINET.V;46
es2020bepna;17-1-2020;17:49:31;18:49:31;34,6701;-8,6896;22;3.1;M(mb);;GOLFO DE CÁDIZ;21
es2020bespq;17-1-2020;19:23:26;20:23:26;38,8206;-1,8309;2;2.4;mbLg;;W POZO CAÑADA.AB;2
es2020beuvg;17-1-2020;20:30:39;21:30:39;39,2505;-0,518;3;1.9;mbLg;;N CARLET.V;46
es2020bexux;17-1-2020;22:01:09;23:01:09;37,0997;-3,8171;1;3.2;mbLg;III;N VENTAS DE HUELMA.GR;18
es2020beyua;17-1-2020;22:30:25;23:30:25;40,0108;-0,5541;1;2.7;mbLg;II;S MONTÁN.CS;12
es2020bfgep;18-1-2020;2:14:53;3:14:53;38,6334;-6,9684;1;2.0;mbLg;;SE VALVERDE DE LEGANÉS.BA;6
es2020bflxy;18-1-2020;5:08:59;6:08:59;40,0216;-0,5521;2;2.3;mbLg;;S MONTÁN.CS;12
es2020bfnoa;18-1-2020;5:58:01;6:58:01;43,014;0,2347;;2.1;mbLg;;SE BAGNERES DE BIGORRE.FRA;22
es2020bfzox;18-1-2020;12:02:45;13:02:45;42,7589;2,356;;1.6;mbLg;;SW ST. PAUL DE FENOUILLET.FRA;17
es2020bgbam;18-1-2020;12:46:33;13:46:33;37,0979;-1,847;;2.1;mbLg;;S MOJÁCAR.AL;4
es2020bgdpp;18-1-2020;14:04:49;15:04:49;36,7348;-5,3266;11;1.6;mbLg;;SE GRAZALEMA.CA;11
es2020bgqfk;18-1-2020;20:26:56;21:26:56;37,3666;-8,4754;;2.0;mbLg;;NE MONCHIQUE.POR;21
es2020bgrwg;18-1-2020;21:16:50;22:16:50;36,8628;-4,8817;17;2.0;mbLg;;SW ARDALES.MA;29
es2020bgrwr;18-1-2020;21:17:20;22:17:20;36,8458;-4,9583;24;2.2;mbLg;;SE SERRATO.MA;29
es2020bgutt;18-1-2020;22:44:51;23:44:51;35,1187;-3,2018;;2.6;mbLg;;NE DRIOUCH.MAC;52
es2020bguww;18-1-2020;22:48:29;23:48:29;36,6206;-11,315;50;3.4;M(mb);;SW CABO DE SAN VICENTE;21
es2020bgwvy;18-1-2020;23:48:03;0:48:03;36,8661;-5,647;;3.0;mbLg;III;NW VILLAMARTÍN.CA;11
es2020bgzqa;19-1-2020;1:11:59;2:11:59;36,856;-5,6598;15;2.0;mbLg;;SW VILLAMARTÍN.CA;11
es2020bgzre;19-1-2020;1:13:25;2:13:25;36,8969;-5,6355;21;1.6;mbLg;;N VILLAMARTÍN.CA;11
es2020bhbwm;19-1-2020;2:20:35;3:20:35;34,0019;-6,6334;7;3.2;M(mb);;E SALE.MAC;11
es2020bhisg;19-1-2020;5:47:25;5:47:25;27,7491;-18,2155;35;2.3;mbLg;;W FRONTERA.IHI;38
es2020bhpsf;19-1-2020;9:19:32;10:19:32;36,8754;-5,6704;19;1.9;mbLg;;NW VILLAMARTÍN.CA;11
es2020bilrv;19-1-2020;20:25:48;21:25:48;38,2317;-7,9471;6;2.5;mbLg;;SE ALVITO.POR;6
es2020bimhl;19-1-2020;20:44:03;21:44:03;35,5197;-3,7576;9;2.4;mbLg;;ALBORÁN SUR;52
es2020bimkz;19-1-2020;20:48:11;21:48:11;36,2725;-8,9398;4;2.3;mbLg;;GOLFO DE CÁDIZ;21
es2020biogj;19-1-2020;21:43:25;22:43:25;38,4599;-7,9955;13;2.1;mbLg;;N VIANA DO ALENTEJO.POR;6
es2020bivfy;20-1-2020;1:15:03;2:15:03;38,8342;-2,7868;;2.0;mbLg;;NE VILLAHERMOSA.CR;13
es2020bizxh;20-1-2020;3:36:31;3:36:31;27,8418;-15,8679;24;2.0;mbLg;;SW MOGÁN.IGC;35
es2020bjulv;20-1-2020;13:59:37;14:59:37;36,9577;-5,1833;9;2.0;mbLg;;N ALCALÁ DEL VALLE.CA;41
es2020bkfvz;20-1-2020;19:44:49;20:44:49;37,8789;-3,2357;2;2.1;mbLg;;SW PEAL DE BECERRO.J;23
es2020bkixw;20-1-2020;21:17:54;22:17:54;36,0742;-6,8686;4;3.7;mbLg;;GOLFO DE CÁDIZ;11
es2020blejx;21-1-2020;8:08:24;9:08:24;42,81;-9,7048;3;2.6;mbLg;;ATLÁNTICO-GALICIA;15
es2020bletz;21-1-2020;8:20:10;9:20:10;37,2133;-3,6789;;1.6;mbLg;;SE ATARFE.GR;18
es2020blhnh;21-1-2020;9:43:16;10:43:16;36,3363;-8,1351;6;3.7;mbLg;;GOLFO DE CÁDIZ;21
es2020blpqp;21-1-2020;13:49:35;14:49:35;42,6096;2,2917;;2.1;mbLg;;W PRADES.FRA;17
es2020blrkq;21-1-2020;14:43:15;15:43:15;37,2945;-8,5565;2;1.7;mbLg;;S MONCHIQUE.POR;21
es2020blvaz;21-1-2020;16:33:15;17:33:15;40,4432;-0,1131;12;2.3;mbLg;;SE ARES DEL MAESTRAT.CS;12
es2020blwwz;21-1-2020;17:29:11;18:29:11;35,4429;-3,7045;1;2.4;mbLg;;ALBORÁN SUR;52
es2020blyly;21-1-2020;18:16:56;19:16:56;37,3443;-8,4384;4;2.2;mbLg;;E MONCHIQUE.POR;21
es2020bmbxn;21-1-2020;20:01:22;21:01:22;39,0636;-0,5016;5;2.2;mbLg;;E SENYERA.V;46
es2020bmuvc;22-1-2020;5:34:24;6:34:24;36,7542;-9,5736;32;2.8;mbLg;;SW CABO DE SAN VICENTE;21
es2020bmzoo;22-1-2020;7:58:16;8:58:16;39,4789;-1,557;1;2.2;mbLg;;E VILLALPARDO.CU;16
es2020bnywu;22-1-2020;20:45:33;21:45:33;41,6831;2,6179;;2.0;mbLg;;N SANT CEBRIÀ DE VALLALTA.B;8
es2020bnzcb;22-1-2020;20:51:44;21:51:44;36,7362;-5,4927;;1.8;mbLg;;SE EL BOSQUE.CA;11
