Evento;Fecha;Hora UTC;Hora Local;Latitud;Longitud;Profundidad;Magnitud;Tipo Mag.;Int. max.;Localización;CodProvincia
es2020axtss;14-1-2020;0:01:26;1:01:26;36,5194;-5,0705;19;2.3;mbLg;;W BENAHAVÍS.MA;29
es2020aybae;14-1-2020;3:42:18;4:42:18;39,8266;-0,5759;4;2.3;mbLg;;SW ALTURA.CS;12
es2020aybom;14-1-2020;3:58:57;4:58:57;37,4486;-3,7974;8;2.0;mbLg;;W BENALÚA DE LAS VILLAS.GR;23
es2020ayigq;14-1-2020;7:21:56;8:21:56;36,6523;-4,602;79;2.2;mb;;W ALHAURÍN DE LA TORRE.MA;29
es2020ayjyh;14-1-2020;8:12:50;9:12:50;36,294;-7,5929;11;2.4;mbLg;;GOLFO DE CÁDIZ;21
es2020aylxg;14-1-2020;9:12:15;9:12:15;28,3585;-14,5367;8;2.2;mbLg;;ATLÁNTICO-CANARIAS;35
es2020aypiz;14-1-2020;10:56:50;11:56:50;38,548;-8,0102;;1.9;mbLg;;W EVORA.POR;6
es2020azhhb;14-1-2020;20:00:08;20:00:08;28,9706;-14,2202;13;2.3;mbLg;;ATLÁNTICO-CANARIAS;35
es2020azrec;15-1-2020;0:59:44;1:59:44;39,3023;-10,312;27;3.5;mbLg;;ATLÁNTICO-PORTUGAL;10
es2020azrgm;15-1-2020;1:02:31;2:02:31;38,1251;-1,3123;;2.0;mbLg;II;SE VILLANUEVA DEL RÍO SEGURA.M;30
es2020baadi;15-1-2020;5:31:36;6:31:36;36,9641;3,8102;20;2.8;M(mb);;NW TIZI OUZOU.ARG;7
es2020baahl;15-1-2020;5:36:18;6:36:18;36,9984;3,6842;16;3.6;M(mb);;MEDITERRÁNEO-ARGELIA;7
es2020bafrp;15-1-2020;8:19:47;9:19:47;36,713;-5,3286;20;1.9;mbLg;;NE VILLALUENGA DEL ROSARIO.CA;11
es2020bafua;15-1-2020;8:22:36;9:22:36;38,7155;-7,949;1;2.1;mbLg;;E ARRAIOLOS.POR;6
es2020bamjs;15-1-2020;11:42:46;12:42:46;36,9221;-3,745;1;1.8;mbLg;;SE JAYENA.GR;18
es2020bawyg;15-1-2020;17:02:46;18:02:46;37,0812;-5,5705;23;2.3;mbLg;;E EL CORONIL.SE;41
es2020bbabq;15-1-2020;18:37:40;19:37:40;37,8642;-1,4045;8;1.5;mbLg;;NE ALHAMA DE MURCIA.MU;30
